method N User(s) System(s) Real(s)
my_eigen_matmult 800 0.11 0.01 0.12
my_eigen_matmult 800 0.09 0.00 0.10
my_eigen_matmult 800 0.11 0.00 0.11
my_eigen_matmult 800 0.11 0.00 0.12
my_eigen_matmult 1000 0.18 0.00 0.19
my_eigen_matmult 1000 0.18 0.00 0.19
my_eigen_matmult 1000 0.18 0.01 0.19
my_eigen_matmult 1000 0.17 0.00 0.18
my_eigen_matmult 1000 0.16 0.01 0.18
my_eigen_matmult 1000 0.17 0.01 0.19
my_eigen_matmult 1000 0.18 0.00 0.19
my_eigen_matmult 1000 0.16 0.00 0.17
my_eigen_matmult 1000 0.18 0.01 0.19
my_eigen_matmult 1000 0.16 0.00 0.17
my_eigen_matmult 1200 0.27 0.00 0.28
my_eigen_matmult 1200 0.29 0.00 0.30
my_eigen_matmult 1200 0.29 0.00 0.30
my_eigen_matmult 1200 0.26 0.00 0.27
my_eigen_matmult 1200 0.28 0.00 0.29
my_eigen_matmult 1200 0.29 0.00 0.30
my_eigen_matmult 1200 0.28 0.00 0.29
my_eigen_matmult 1200 0.27 0.00 0.28
my_eigen_matmult 1200 0.28 0.00 0.29
my_eigen_matmult 1200 0.29 0.00 0.30
my_eigen_matmult 1500 0.51 0.01 0.52
my_eigen_matmult 1500 0.53 0.00 0.54
my_eigen_matmult 1500 0.53 0.01 0.54
my_eigen_matmult 1500 0.53 0.01 0.54
my_eigen_matmult 1500 0.51 0.00 0.52
my_eigen_matmult 1500 0.53 0.00 0.54
my_eigen_matmult 1500 0.52 0.01 0.53
my_eigen_matmult 1500 0.52 0.01 0.54
my_eigen_matmult 1500 0.50 0.00 0.51
my_eigen_matmult 1500 0.50 0.00 0.51
my_eigen_matmult 2000 1.19 0.01 1.20
my_eigen_matmult 2000 1.18 0.00 1.19
my_eigen_matmult 2000 1.17 0.01 1.18
my_eigen_matmult 2000 1.19 0.01 1.20
my_eigen_matmult 2000 1.16 0.00 1.17
my_eigen_matmult 2000 1.18 0.01 1.19
my_eigen_matmult 2000 1.18 0.01 1.19
my_eigen_matmult 2000 1.18 0.01 1.19
my_eigen_matmult 2000 1.18 0.01 1.20
my_eigen_matmult 2000 1.19 0.01 1.21
my_eigen_matmult_no_vect 50 0.00 0.00 0.01
my_eigen_matmult_no_vect 50 0.00 0.00 0.00
my_eigen_matmult_no_vect 50 0.00 0.00 0.00
my_eigen_matmult_no_vect 50 0.00 0.00 0.00
my_eigen_matmult_no_vect 50 0.00 0.00 0.00
my_eigen_matmult_no_vect 50 0.00 0.00 0.00
my_eigen_matmult_no_vect 50 0.00 0.00 0.00
my_eigen_matmult_no_vect 50 0.00 0.00 0.00
my_eigen_matmult_no_vect 50 0.00 0.00 0.00
my_eigen_matmult_no_vect 50 0.00 0.00 0.00
my_eigen_matmult_no_vect 100 0.00 0.00 0.01
my_eigen_matmult_no_vect 100 0.00 0.00 0.01
my_eigen_matmult_no_vect 100 0.00 0.00 0.01
my_eigen_matmult_no_vect 100 0.00 0.00 0.01
my_eigen_matmult_no_vect 100 0.00 0.00 0.01
my_eigen_matmult_no_vect 100 0.00 0.00 0.01
my_eigen_matmult_no_vect 100 0.00 0.00 0.01
my_eigen_matmult_no_vect 100 0.00 0.00 0.01
my_eigen_matmult_no_vect 100 0.00 0.00 0.00
my_eigen_matmult_no_vect 100 0.00 0.00 0.01
my_eigen_matmult_no_vect 200 0.01 0.00 0.01
my_eigen_matmult_no_vect 200 0.00 0.00 0.01
my_eigen_matmult_no_vect 200 0.01 0.00 0.01
my_eigen_matmult_no_vect 200 0.01 0.00 0.01
my_eigen_matmult_no_vect 200 0.01 0.00 0.01
my_eigen_matmult_no_vect 200 0.01 0.00 0.01
my_eigen_matmult_no_vect 200 0.01 0.00 0.01
my_eigen_matmult_no_vect 200 0.00 0.00 0.01
my_eigen_matmult_no_vect 200 0.01 0.00 0.01
my_eigen_matmult_no_vect 200 0.01 0.00 0.01
my_eigen_matmult_no_vect 500 0.04 0.00 0.05
my_eigen_matmult_no_vect 500 0.04 0.00 0.05
my_eigen_matmult_no_vect 500 0.02 0.00 0.02
my_eigen_matmult_no_vect 500 0.02 0.00 0.03
my_eigen_matmult_no_vect 500 0.04 0.01 0.06
my_eigen_matmult_no_vect 500 0.03 0.00 0.04
my_eigen_matmult_no_vect 500 0.02 0.00 0.03
my_eigen_matmult_no_vect 500 0.04 0.01 0.05
my_eigen_matmult_no_vect 500 0.02 0.00 0.02
my_eigen_matmult_no_vect 500 0.02 0.00 0.03
my_eigen_matmult_no_vect 700 0.07 0.00 0.07
my_eigen_matmult_no_vect 700 0.05 0.00 0.06
my_eigen_matmult_no_vect 700 0.08 0.00 0.09
my_eigen_matmult_no_vect 700 0.05 0.00 0.06
my_eigen_matmult_no_vect 700 0.06 0.00 0.06
my_eigen_matmult_no_vect 700 0.05 0.00 0.06
my_eigen_matmult_no_vect 700 0.06 0.00 0.06
my_eigen_matmult_no_vect 700 0.05 0.00 0.06
my_eigen_matmult_no_vect 700 0.06 0.00 0.06
my_eigen_matmult_no_vect 700 0.08 0.00 0.09
my_eigen_matmult_no_vect 800 0.09 0.00 0.11
my_eigen_matmult_no_vect 800 0.08 0.00 0.08
my_eigen_matmult_no_vect 800 0.09 0.00 0.10
my_eigen_matmult_no_vect 800 0.07 0.00 0.08
my_eigen_matmult_no_vect 800 0.08 0.00 0.08
my_eigen_matmult_no_vect 800 0.09 0.00 0.09
my_eigen_matmult_no_vect 800 0.08 0.00 0.09
my_eigen_matmult_no_vect 800 0.08 0.00 0.08
my_eigen_matmult_no_vect 800 0.10 0.00 0.11
my_eigen_matmult_no_vect 800 0.09 0.01 0.11
my_eigen_matmult_no_vect 1000 0.17 0.01 0.19
my_eigen_matmult_no_vect 1000 0.17 0.00 0.18
my_eigen_matmult_no_vect 1000 0.15 0.00 0.16
my_eigen_matmult_no_vect 1000 0.18 0.01 0.19
