method N clk(ini) clk(mult) User(s) System(s) Real(s)
my_eigen_matmult 2000 0.06000 1.20000 1.25 0.01 1.29
my_eigen_matmult 2000 0.07000 1.19000 1.25 0.01 1.29
my_eigen_matmult 2000 0.07000 1.20000 1.27 0.01 1.31
my_eigen_matmult 2000 0.06000 1.18000 1.23 0.01 1.28
my_eigen_matmult 2000 0.05000 1.21000 1.25 0.01 1.30
my_eigen_matmult 2000 0.07000 1.19000 1.25 0.01 1.30
my_eigen_matmult 2000 0.07000 1.19000 1.25 0.01 1.31
my_eigen_matmult 2000 0.07000 1.19000 1.25 0.01 1.29
my_eigen_matmult 2000 0.07000 1.19000 1.25 0.01 1.29
my_eigen_matmult 3000 0.14000 3.98000 4.10 0.02 4.16
my_eigen_matmult 3000 0.14000 3.97000 4.09 0.02 4.16
my_eigen_matmult 3000 0.14000 3.99000 4.11 0.02 4.17
my_eigen_matmult 3000 0.14000 3.99000 4.11 0.02 4.64
my_eigen_matmult 3000 0.12000 3.99000 4.08 0.03 4.14
my_eigen_matmult 3000 0.13000 4.00000 4.10 0.03 4.16
my_eigen_matmult 3000 0.14000 3.99000 4.11 0.02 4.17
my_eigen_matmult 3000 0.14000 3.99000 4.11 0.02 4.15
my_eigen_matmult 3000 0.14000 3.98000 4.10 0.02 4.16
my_eigen_matmult 3000 0.14000 3.99000 4.10 0.03 4.17
